證交所新聞
"標題","連結","日期"
"自110年6月16日起，英瑞國際股份有限公司（英瑞-KY，證券代號：1592）上市有價證券停止買賣","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179fa50f4a100e6","110年06月11日"
"本週發行量加權股價指數漲幅約為0.39%，上市股票總市值達52.66兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179fa496e2800e2","110年06月11日"
"全體上市公司110年5月份當月營收較109年同期成長17.14％，累計營業收入較109年同期成長23.17％","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179f9d5f69300dd","110年06月11日"
"「亞通利大能源股份有限公司」國內第二次有擔保轉換公司債（證券代號：61792）採競價拍賣方式辦理承銷，於今(6/10)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179f4b081f600d6","110年06月10日"
"富邦投信募集發行之富邦台灣半導體ETF，將於6月10日掛牌上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179eacd5c4c00cd","110年06月08日"
"2021年5月集中市場相關數據","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179eac3830400c9","110年06月08日"
"臺灣證券交易所有價證券上市審議委員會審議通過八方雲集國際股份有限公司初次申請股票上市案","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e5f3792300be","110年06月07日"
"110年第2季「第一上市公司線上財務業務說明會」圓滿落幕","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e5e8830500ba","110年06月07日"
"證交所提醒上市公司加強防疫措施且依規即時發布重大訊息","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e5dac49200b6","110年06月07日"
"全訊科技(股)公司於110年6月7日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e583c5a600b1","110年06月07日"
"證交所參與APEC金融監理官員培訓計畫，分享臺灣市場發展經驗","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e50883910085","110年06月07日"
"上週外資在集中市場賣超27.91億元，賣超友達12.43萬張最多，另買超長榮航5.42萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179e494a4e00081","110年06月07日"
"八貫自本（110）年6月7日起得為融資融券交易","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179d6387fff007c","110年06月04日"
"本週發行量加權股價指數漲幅約為1.64%，上市股票總市值達52.46兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff840179d635b7580078","110年06月04日"
